Stories,Category
"
                    For years, I have been feeling empty when I am by myself. I hate this
feeling. I often try to have people around me by spending money on them,
taking them out for dinners. While I am generous, I don’t want to use
this behavior to cover my empty feeling. I want to feel cheered up
without needing to be around people. I want to feel motivated to do
things for myself. I want to live for myself, not just because I have to
live and do my best for my young daughter. I am unable to leave the
house if I don’t have someone with me. For instance, I force myself to
go to the grocery store for groceries. I see psychologist every
fortnight but I go back to the empty feeling as I walk out the
counseling sessions. How can I stop this madness?
                ",ANXIETY
"
                    Hi everyone, particularly any new members who may be reading. From time
to time, we get contacted by members who are unhappy that they haven’t
received a lot of replies to their posts. Our community champions work
very hard to make sure that all newbies are welcomed when they first
post, and we understand that it’s a big step to post for the first time
on a forum like this, especially if you aren’t feeling great. It’s
important to remember, though, that these forums are a community of real
people, just like you, not a one-on-one support environment like going
to see your psychologist. To get the best out of being here, one of the
best tips we can offer is give support to receive support. Being a good
community member means: participating in different threads (not just
your own), replying to people who have taken the time to reply to you
(even if it’s just to say thank you), and... posting words of emotional
support and encouragement when you see others who are hurting and
reaching out. You don’t have to feel obliged to solve the problems of
others: that’s not what we’re here for. But you can offer empathy and
what you’ve learned from your own life experiences, even if it’s just a
line or two, eg. “I don't know what to say, but I want to give you my
support and tell you I care about what is happening to you and hope life
will get better soon.” Try to develop an interest in the journeys of
others here on the forums. You may be surprised at how good being an
active, caring member here can make you feel. For those of you who have
had good experiences giving support here on the forums, please post in
this thread here and let us know how it has helped you on your journey.
                ",ANXIETY
"
                    I have been doing so well for a couple of years on my old medication and
now suddenly I am so much worse again. I feel jittery about little
things, my mind is going crazy from just thinking if I have to do some
housework and my mind gets overwhelmed that I get physically sick. This
morning I had to call in sick again and usually I was able to push
myself to just one sick day a month! I feel physically week and run
down, just no energy to do anything but lie in bed, but have to push
myself today to go and get my new medication... I am so angry at myself,
nobody will put up with this for long and I am trying to do the right
thing but feel more and more frustrated with things around me. If I
leave out something in housework or to do, it all piles up and making me
more and more overwhelmed
                ",ANXIETY
"
                    Hi everyone, I'm having a horrible week, so just thought I would post to
see how everyone else is going? I'm having a hard time getting out of
the shame spiral this week, but trying to remember this is only
temporary. Anyway, hope others are well, happy to chat about anything.
                ",ANXIETY
"
                    Hi and best wishes to everyone..Im starting to get very scared again and
having panic like attacks. I just feel so alone at times and this might
sound strange but i feel like a kid who just wants to give his mum a
hug. But im 58 i lost my mum at 18 and Dad in 2000 and have no real
family support. Im currently not working and dont feel i have the energy
to start again. I just do some volunteer work one day a week at a
hospital. Ive never really progressed in life i just seem to have filled
in time . I feel like i have had enough a times. Best wishes Brett
                ",ANXIETY
"
                    Hi there,I'd appreciate your thoughts or suggestions on what to do about
knowing people are talking about you behind your back or if you suspect
they are talking about you behind your back. There have been times in
the past when this has been overwhelming and confusing because, what are
you supposed to do in this situation? It can bring on a sense of dead
and insecurity and I'm not sure how to respond to it. I'm the sort of
person who avoids conflict but I've also noticed this is very common in
today's society where everyone is comparing themselves and using social
media, which has increased the amount of gossip, misinformation, and
dare I say it 'bitchy' behaviour in general. Sometimes I have overheard
people talking about me in a way that they have clearly misunderstood my
intentions or who I am as a person, but I also want to keep the peace
and not confront anyone. Anyway, I'd appreciate your thoughts!
                ",ANXIETY
"
                    So I have had experience with severe anxiety in the past, to the point
where I can't eat, can't sleep and literally can't sit still. I have
gotten through it in the past after basically just waiting it out and I
thought I had overcome it. Something has triggered my anxiety again
yesterday and I am struggling to pinpoint why. I feel like I can come up
with lots of 'this could be why' explanations or maybe it's all of the
things. My main symptoms is a sick churning feeling in my stomach.
Sometimes it is constant but at the moment it is on and off. It stops
when I am distracted by something but as soon as I let my mind think
again it comes strait back. I can barely eat, I am force feeding myself
just so my stomach doesn't hurt from lack of food but I have zero
appetite. I wake up every day feeling nauseated for as long as I can
remember, I honestly feel awful on waking but I'm not sure why. I am so
tired and groggy from constant worry but I can hardly sleep. When I do
fall asleep I wake up in the early hours worrying and heart pounding. I
have a beautiful partner but they don't know how to help and it is not
up to them anyway. I think I am stressing about my work but my work
isn't THAT stressful so I think it's my personality mostly. I have tried
all the techniques but I just feel like it's a case of riding it out
again which sucks because I don't know how long it will be pure torture
for. I hate myself for being this way, my life is not otherwise
uncomfortable. I can't predict when this will happen which makes it more
devastating when it does. Why can't I just get peace? It's my brain
that's broken so why can't my brain fix it?
                ",ANXIETY
"
                    Work place gossip is getting on top of me right now. I'm currently
struggling with a lot of things in my personal life and I've still been
doing my job but I haven't been as motivated and I have had to take days
off. I know taking time off can cause coworkers to respect me less but i
can't handle work when I'm having panic attacks or need to sort out
appointments and my living situation. There are lots of office politics
and I'm a supervisor at work and I've had another co-worker tell me
things bosses have said about me that they're trying to ""catch me out""
and they dont want to critise me incase it effects my mental health. I
also worry this co-worker is repeating things I say to the boss as well
and she has bragged about being the bosses ""spy"" and I thought I was
friends with this person. The bosses talking about me like that has lead
to other issues with undermining and talking about other staff members
and calling them useless. I tried to talk to my boss about it but I
don't think they handled it very well and said my coworker is ""getting
too big for their boots"" and immediately brought them into the office
after, i wasnt trying to start drama i wanted to know how to handle the
situation and stop any bullying of other team members. She tried to
blame shift onto another manager though and she either is in the dark or
pretends to be. Every aspect of my life is crumbling right now and my
mental health is suffering. I don't want to quit my job if it's just
paranoia. I try my best to focus on my work and avoid drama but it got
the best of me and my confidence is gone. I want to talk to the boss
about taking time off but I know that's going to cause more gossip. I
have wanted a new job for a long time but if I leave I know they will be
short staffed and pissed off. I know I'm not the type of co-worker
people might want to be around because of my anxiety. They have done a
lot for me but I don't feel like I can keep working like this and I
don't want to be that person that is just complaining and worrying all
the time. This is my first good job and I've been there 3 years with no
issues like this until recently. I really struggle with social
interactions and the boss said they trust me and I'm important to them
but then they're possibly talking about me behind my back. Rather than
talking to me they'll probably cut my shifts for a while. Has anyone
else's stress and anxiety caused them to quit a job? Is this normal
workplace gossip or potentionally toxic?
                ",ANXIETY
"
                    And got diagnosed with severe anxiety. I didn't know it was this bad.
Like, obviously I knew it was bad....but severe?? I should add that I've
has anxiety for a while just as a general handbrake on my life. But now
it's...yea. It was, I suppose the first time I was truly honest with
what was happening. The doctor I had was great too, it wasn't a tick and
flick exercise for her - I felt truly listened too. How the hell did I
get here? I look after myself, sleep, eat, volunteer, work etc I don't
know what more I can do. I can't change my past.
                ",ANXIETY
"
                    Hi. My daughter suffers from bad night sweats as a symptom of taking
Anxiety medication. They appear to be hormonal as they occur when she is
either ovulating or menstruating. I'm wondering if anyone else suffers
from this symptom and if so, do they have any tips or remedies to ease
these? It seems unreal for her to have to deal with this, for a week at
a time, every month - broken sleeps and having to change her bedding
during the night, every night, during those weeks. TIA
                ",ANXIETY
"
                    Hi guys, it’s already a month, the company dismissed me. It is unfair
because they can't reprimand one of our co-workers. My co-worker is my
senior, I thought he would help me to learn but he is bothering me even
more in my work. I was being yelled at, all my output was wrong as if I
was stupid, and I also questioned myself. I can't sleep well, I can't
eat, I don't feel hungry, I just lie down all day, I try to get up but
my body doesn't want to. I have lost weight, I don't even know how to
start.I have also been told by people about what is happening to me,
that I thought they would understand me, in fact they judged me more.My
heart hurts so much, I can't stop crying, I feel useless. how do I start
getting up again?
                ",ANXIETY
"
                    Hey GuysI am a single parent who is struggling to get my son interested
in his school work. In a recent parent teacher interview, his teachers
told me he is a polite child but is not interested in his studies. The
teachers told me that he shows no interest in his subjects. Not sure
what to do. I spoke to him and he promises that he will do better. I
find it hard as he has been promising me this for last few years. I
don’t know how to get him interested in his subject.
                ",ANXIETY
"
                    Hi everyone, particularly any new members who may be reading. From time
to time, we get contacted by members who are unhappy that they haven’t
received a lot of replies to their posts. Our community champions work
very hard to make sure that all newbies are welcomed when they first
post, and we understand that it’s a big step to post for the first time
on a forum like this, especially if you aren’t feeling great. It’s
important to remember, though, that these forums are a community of real
people, just like you, not a one-on-one support environment like going
to see your psychologist. To get the best out of being here, one of the
best tips we can offer is give support to receive support. Being a good
community member means: participating in different threads (not just
your own), replying to people who have taken the time to reply to you
(even if it’s just to say thank you), and... posting words of emotional
support and encouragement when you see others who are hurting and
reaching out. You don’t have to feel obliged to solve the problems of
others: that’s not what we’re here for. But you can offer empathy and
what you’ve learned from your own life experiences, even if it’s just a
line or two, eg. “I don't know what to say, but I want to give you my
support and tell you I care about what is happening to you and hope life
will get better soon.” Try to develop an interest in the journeys of
others here on the forums. You may be surprised at how good being an
active, caring member here can make you feel. For those of you who have
had good experiences giving support here on the forums, please post in
this thread here and let us know how it has helped you on your journey.
                ",ANXIETY
"
                    Hi all! I’m a newbie here and I am just wondering whether anyone has
tried supplements or natural medicines to treat anxiety? And if so, any
recommendations? im a little apprehensive to take prescription
medication for anxiety but I think I am getting to the point where I
think I need too. thank you.
                ",ANXIETY
"
                    Hello all, I previously posted here a couple of months ago about my
current situation. Since then, I have had a few days where I have been
good and have been able to manage my anxiety, but as of late, I have
been struggling to get out of the dreaded dark hole of ""doctor google or
doctor youtube"" and I have self-diagnosed myself with something drastic
because my doctor ""missed something"". There have been times when I would
journal but have found it difficult to make journalling a routine to
write something good about that day - if that makes sense. I kinda am
the person that I would be a listening ear for someone during their hard
times, but when it comes to myself, i tend to flick it under the rug and
go about my life. I have hit a brick wall.
                ",ANXIETY
"
                    Hi all, I am a young person who has had anxiety for over 10 years. I
know the techniques to use - breathing, meditation, distraction etc, but
have never put in the time to practice these things so when things do
hit the fan (like right now!) I am a jittery mess. I need advice on
getting myself motivated to get back on track to do normal things like
work and see friends. I don't want to live my live being controlled by
my own silly thoughts anymore.
                ",ANXIETY
"
                    At times I tell my anxiety to stop, go away, leave me alone. I thought
it might be good to put it into a post. Feel free to write your own
letter. Dear anxiety,I've has enough of you & you need to leave. I am a
strong, confident, positive person & you come in & try to take it away.
You always pounce when I'm a little vulnerable & you just keep pick,
pick, picking at me until my thoughts go round in circles. Well, you
won't win. I know your game & I'm not playing.Go back into your little
hole, you won't get the better of me Cmf
                ",ANXIETY
"
                    I have had numerous sleepless nights because of restless legs Sometimes
I only have 2 hrs sleep i take medications on prescription and over the
counter pain killers Have numerous showers Am desperate to find some
help Doctors have given me no treatments to follow or drugs for RLS I
have been diagnosed with Peripheral Neuropathy Anyone with same problem
                ",ANXIETY
"
                    I am struggling really bad with anxiety especially when driving on the
freeway
                ",ANXIETY
"
                    Hi, I am 14 in year 9 and live in Australia. I am a high achiever, I get
good grades, am house captain, and get some academic awards. so most
people think I am fine but I am not. I have panic attacks every day and
always feel like my mind is a black hole of empty nothingness that will
never be good enough. I am pretty good at faking a smile and only crying
when I am alone but sometimes I just can't and people always judge me.
School takes up so much of my energy that I am usually stuck in bed for
the rest of the day as soon as I get home because it is too hard to get
up. whenever I tell someone they are always surprised and I am scared
they don't believe me. I am on medication and go to therapy but if
anyone has any suggestions on what I can do to not feel like this I
would appreciate it. thank you.
                ",ANXIETY
"
                    Hi,I'm extremely reluctant making this post for all the obvious reasons,
but reading some of the other posts here has given me the courage to do
so. I'm 48, have had s.a.d for at least 35-40 of those years and have
never sought advice on the subject. I've never been diagnosed
officially, and have only started to fully accepted the fact recently,
due to a problem I'm facing. A problem I had managed to avoid up until
this point in my life. I have done some reading online over the years to
get an understanding of my condition and believed I understood it well
enough. I spent my teenage years and most of my 20s completely ignorant
and fighting off depression. After realizing s.a.d was the main cause I
was able to move past the depression, or so I thought. Gradually I chose
to live a very isolated life and not rely on other people for my own
happiness. I have never been able to hold a job for a long period of
time, or had many friends that ever lasted particularly long. I have
never found any true happiness, but in recent years I had found peace.
There has always been a personal reason that has allowed me to get out
of bed each and everyday. The peace I had found always had a clock on it
and I knew it. It gave me both the confidence and motivation to step
well out of my comfort zone and that seems to have backfired on me. The
combination, of my s.a.d and lacking social skills which have
deteriorated over time, has left me extremely confused and disappointed
to say the least. I am capable of, participate in, and enjoy short
social interactions. However I have never been capable of speaking to a
gp, or anyone really, face to face about mental health. Any advice on
moving forward after a huge reality check and setback would be
appreciated. I'll say thank you, now, for reading...and any replies, as
I'm unsure if I will respond to any. Sorry hope you understand.
                ",ANXIETY
"
                    Hi everyone, I'm reaching out as something that has been coming up for
me a lot lately has been social anxiety, mostly stemming from my deep
issues with shame. I am aware my unhelpful thinking style makes me jump
to conclusions and assume people think I'm stupid, pathetic, weak &
useless. And I know it isn't true, but in the moments that I talk to
people, I find I lack the confidence to think differently. I don't have
a diagnosis of ASD or ADHD, and I actually have a good amount of friends
which one might not think of someone with social anxiety. But I can only
be myself around 'my people' or only certain kinds of people. I'm an
introvert that can sometimes pass as an extrovert but I'm always
extremely drained after social events/work. Here are some examples for
context:-At work, I struggle to have conversation & make eye contact
with my boss. I am afraid they will discover I am not cut out for the
job. I'm also hyper aware that they are an 'extremely business-minded'
person, and I sometimes feel my interactions with them are not
genuine...People that are in authoritative positions, especially older
men, I find extremely difficult to talk to. I sense that they write me
off as 'a silly' girl.-I attend a writing group once a month. During the
group, I am so uncomfortable in sharing my opinion about someone's work
(because it involves speaking in front of people I don't really know)
that I can't concentrate on the writing they are reading aloud. Everyone
is able to give solid feedback, but I struggle to remember what they
even said as I was panicking about speaking!-Lastly, when people ask how
I'm doing, how my writing is going yatta yatta, I start rambling.
Because I don't feel like I've accomplished much with my life I always
feel embarrassed talking about the fact I work part time and I struggle
to write because I'm feeling depressed...but I can't say these things!
I'm probably rambling right now! Sorry for the long post...I'm after
advice, materials and strategies to combat these issues. Does anyone
else ever get moments when you disassociate in a conversation, or think
about trying to make eye contact when someone is speaking that you
really struggle to stay in the moment?
                ",ANXIETY
"
                    Lately or even for a while now I have had anxeity. Previously I had
depression for a while but feel I have some what over come it and
sometimes have it over time.
                ",ANXIETY
"
                    Hi everyone, particularly any new members who may be reading. From time
to time, we get contacted by members who are unhappy that they haven’t
received a lot of replies to their posts. Our community champions work
very hard to make sure that all newbies are welcomed when they first
post, and we understand that it’s a big step to post for the first time
on a forum like this, especially if you aren’t feeling great. It’s
important to remember, though, that these forums are a community of real
people, just like you, not a one-on-one support environment like going
to see your psychologist. To get the best out of being here, one of the
best tips we can offer is give support to receive support. Being a good
community member means: participating in different threads (not just
your own), replying to people who have taken the time to reply to you
(even if it’s just to say thank you), and... posting words of emotional
support and encouragement when you see others who are hurting and
reaching out. You don’t have to feel obliged to solve the problems of
others: that’s not what we’re here for. But you can offer empathy and
what you’ve learned from your own life experiences, even if it’s just a
line or two, eg. “I don't know what to say, but I want to give you my
support and tell you I care about what is happening to you and hope life
will get better soon.” Try to develop an interest in the journeys of
others here on the forums. You may be surprised at how good being an
active, caring member here can make you feel. For those of you who have
had good experiences giving support here on the forums, please post in
this thread here and let us know how it has helped you on your journey.
                ",ANXIETY
"
                    I want to know if anyone has successfully overcome a fear of driving. I
have limited places I can drive to and cannot to motorways, large duel
carriageways or any news places. I have convinced myself I can’t read
maps or signs and find even the idea of driving to new places completely
overwhelming. I’ve tried many times since passing g my test 29 years ago
and the panic attacks are getting worse. There are even places I used to
drive to that I now can’t. It limits me in so many ways.
                ",ANXIETY
"
                    I have recently been diagnosed with anxiety and it is really hard. I’m
usually really outgoing and it’s made me into a person that never wants
to leave the house. I haven’t been able to go to work without having
panick attacks and i will loose my job if i keep calling in sick because
i have anxiety. How do i get through a shift at work?
                ",ANXIETY
"
                    Hey Guys, looking to hear some real world stories about how you are able
to navigate your anxiety with an ex while coparenting.
                ",ANXIETY
"
                    I am a 63 years old spinster who has a few mental health problems to say
the least. They include anxiety, OCD, paranoia, depression, agoraphobia,
social phobia, hyper-sensitivity and suicidal thoughts to begin with. I
have been isolated for decades with no friends or contact with my
family, which is my fault as I have isolated myself and I don't want to
be a burden. They once told me I'm very depressing and negative which is
probably true. I find it very difficult to connect with people because I
mistrust them and over think everything they say to the point I am left
exhausted. I'm on medication and it helps with my OCD but nothing else,
and like many others, cannot afford counselling. I retired in 2019 as I
had a breakdown at work due to bullying. I have no self confidence, and
see myself as repulsive. I only leave my house once a week to food shop
and I cover my face with a large hat and wear sunglasses and have
headphones on to try and hide. I wish I knew how to enjoy life on my own
but have been made to feel such shame and guilt. I'm also being bullied
by my neighbours who play cruel jokes on me so I often ring Lifeline
when it gets really bad. In Feburary they set off fireworks right
outside my house which terrified me as the sparks landed in my front
yard and roof also they like to tip my wheelie bins over. I've never
bothered any of them but they are a small gang of four roughly the same
age as me but unlike me they are very social. I can't remember the last
time I felt safe and happy. Sorry but I'm feeling very overwhelmed with
life.
                ",ANXIETY
"
                    Hello, I am new to these forums so I hope you might be able to help me.
I am constantly in Fight or Flight mode. My son is going through a very
nasty custody battle with his partner who is a Narcissist, though I
think she is bordering on Psycotic. There are constant lies told by her,
false accusations to Police and instances trying to 'frame' our family
to stop us having any access to our grandchildren as well as keeping our
son away from his children. I am always on standby waiting for the next
lie told, the next time my son has to make a statement to Police
regarding her false accusations , it never ends. I can find no one to
help us. I feel my anxiety is out of control, headaches, panic, bitten
fingernails and unable to relax due to fear of this person. I'm hoping
someone might be able to help control my anxiety, so I am better to cope
with the next allegation. Thankyou.
                ",ANXIETY
"
                    I’ve getting stress headaches I assume, just need to talk to someone out
of it
                ",ANXIETY
"
                    Hi all first time poster on forum. Ive been experiencing severe
depression for 20yrs now and everyday im exhausted to the point i sleep
everyday im so frustrated i cant get motivated i stay in the house hate
going out in public i like the peace and quiet of living on my own
though but just want to know from others how they broke the cycle of
these daily struggles
                ",ANXIETY
"
                    Hi everyone! Little backstory to me - I’m in my 30s, have a fair bit of
childhood trauma (was born with a physical condition and went through a
lot of misunderstanding, discrimination and bullying, though my family
is awesome). In my twenties I lived in a religious community where I
experienced emotional and psychological abuse. I left that community two
years ago, very unwell with anorexia (which I now know was triggered by
trauma). Since then I’ve had a lot of PTSD issues. Flashbacks,
irritability, nightmares, heightened anxiety, self-blame for what
happened, and social/situational avoidance. I’ve not really been treated
consistently for the PTSD. I met my fiancé last year and we are getting
married in October. My fiancé is wonderful, honestly the kindest person
I’ve ever met, and he has been so accepting of me and my issues. I
really want to marry him and I know we are meant to be together. But I
just can’t cope. I can’t cope with the fact that someone wants to be
with me because all I hear are the messages from my trauma. I don’t feel
good enough, I don’t feel deserving of goodness, and being loved and
wanted just feels like too much. I’ve been having a lot more crying
episodes (picture full-on sobbing) and triggers lately and I wonder if
it’s connected to that. Talking about this makes me feel a bit dumb,
because who would be upset or anxious about being loved??? My natural
instinct tells me it’s much better for me to be alone, because then I
can’t be hurt and I can’t hurt other people, but I can’t really do that
in this instance. I think the crux of it is that I feel so incredibly
undeserving of all the good things I have, I just can’t cope with
goodness, and it just feels like way too much. I’ve talked to my fiancé
about this a little and he always tells me I am deserving and he loves
me, but I don’t want to overwhelm him with this. I’ve felt very happy
planning our wedding day, but now thinking about it makes me feel a
little apprehensive - not that I don’t want to marry him, just that
having such a day celebrating us feels like way too much for my brain,
because I don’t deserve it.
                ",ANXIETY
"
                    I am really struggling right now.... My mum has metastatic lung cancer,
terminal cancer. I'm devastated. I have a small business and have a
large tax bill coming up, as well as BAS bills for the next financial
year... I am trying to work out how to pay this but reduce my earnings
so I don't qualify for BAS which will reduce my bills.... I suffer from
chronic migraines, and have fainted 2x times... and saw mt doxtor today,
and have just been told I may not be able to drive for 6 months... which
means I cant pay my bills!!!!! I am so lost, I dont know how to get
through this ....
                ",ANXIETY
"
                    Hello, Im sure other people suffer from health anxiety and I do too, and
it’s really bad. Considering my age, I’m very young but even the tiniest
throb, headache, cough worries me and it’s draining me faster and worse
than my own health can. It’s extremely scary and I can’t seem to find
people with similar constant Symptoms that come with their anxiety, no
matter how much research I do so I’m convinced it’s something bad. Which
makes me feel unmotivated to do absolutely anything, I leave things to
the very last minute and I can’t even keep up with basic hygiene because
I feel like there’s no use, also makes me feel awful. When I do get
random boosts of motivation (rarely) or feel like I can calm down, I
immediately can’t anymore, I tense up or get even slightly anxious that
something bad will happen after that and that’s the only reason I was
allowed to be “normal” for a bit, so I leave that and force myself to
feel more down and empty, But in general everything feels meaningless at
the same time. If anyone feels similar I’d love for a reply!
                ",ANXIETY
"
                    Hi everyone, particularly any new members who may be reading. From time
to time, we get contacted by members who are unhappy that they haven’t
received a lot of replies to their posts. Our community champions work
very hard to make sure that all newbies are welcomed when they first
post, and we understand that it’s a big step to post for the first time
on a forum like this, especially if you aren’t feeling great. It’s
important to remember, though, that these forums are a community of real
people, just like you, not a one-on-one support environment like going
to see your psychologist. To get the best out of being here, one of the
best tips we can offer is give support to receive support. Being a good
community member means: participating in different threads (not just
your own), replying to people who have taken the time to reply to you
(even if it’s just to say thank you), and... posting words of emotional
support and encouragement when you see others who are hurting and
reaching out. You don’t have to feel obliged to solve the problems of
others: that’s not what we’re here for. But you can offer empathy and
what you’ve learned from your own life experiences, even if it’s just a
line or two, eg. “I don't know what to say, but I want to give you my
support and tell you I care about what is happening to you and hope life
will get better soon.” Try to develop an interest in the journeys of
others here on the forums. You may be surprised at how good being an
active, caring member here can make you feel. For those of you who have
had good experiences giving support here on the forums, please post in
this thread here and let us know how it has helped you on your journey.
                ",ANXIETY
"
                    When ever I start working I feel very anxious and feel like quitting.
Even when I am not doing anything, my pending tasks keep bothering me. I
am a mother of 11 years old, married. I don't even know how to put my
feelings into words.
                ",ANXIETY
"
                    Does anyone else get dizzy with anxiety 
                ",ANXIETY
"
                    I have been doing support work for a couple of months and really love
it. I’ve got three clients at the moment, which is great as it balances
well with my part-time job. I came into this work after living in a very
structured religious community for almost ten years. Like everything
being accounted for, often being supervised and criticised on
performance, having very little independence. I left that life very
unwell with anorexia and now live with that (I’m recovering) and PTSD,
which has been dealt with on-and-off by professionals. One client is
seriously unwell and has support workers round the clock. They live with
family and they have set up a really clear system and routine for
support workers. Support workers sign in, there’s a handbook for them,
they need to record all the tasks they do, etc. My client is so lovely,
but they’re also very assertive and direct. They are great qualities,
and this might sound weird - I find myself a bit scared of them at
times. Dealing with very direct people reminds me of my past, because
directness has often turned into personal attacks, and because I was
always expected to be perfect, all the time. I also find the routine and
environment gives me a lot of flashbacks - being supervised as I do
housework, being directed on chores to do, etc. Sometimes I actually
dread going there. And it’s nothing they are doing wrong, these are all
my issues, and that’s what makes me feel bad. I have thought about
ending with this client, but I feel terrible doing so. I feel like I’ll
let them and their family down because they need support. Part of me
thinks they will understand if I explain it. I really love working with
them generally, it’s just these things which have hit me unexpectedly. I
guess I’m looking for a bit of perspective here….? Thanks!
                ",ANXIETY
