Text,Explanations,Aspect
“I single mum...recently moved back to a place to be closer to my oldest kids & family however I'm finding it hard to find a home here & missing my old home terribly I gave up my much loved pets & happy place to come back for my kids & I should be the happiest & proud of this achievement but I'm full of anxiety no family support at all & missing my old life greatly .”,Gave up my much loved pets/ no family support at all/,2
"“Hugs and kisses mean far more to me, than a house they will give to me after they pass. I'm just too conflicted right now.”",I'm just too conflicted right now/,2
“I feel like I am losing my mind and myself. I have no joy and my soul is exhausted. I haven’t even smiled on the last three days. I am being completely ruined by my driving anxiety.”,feel like I am losing my mind and myself/ have no joy/ soul is exhausted/ haven’t even smiled/ being completely ruined by my driving anxiety/,3
“I miss my kids dearly and feel empty and very lonely without them. I don’t look forward to the weekends as I’m just sitting around by myself all weekend.”,miss my kids dearly/ very lonely without them/ sitting around by myself ,2
“I held mid senior management roles in 3 of the 4 Aussie banks before leaving banking to take on a senior role with a software business. The change between roles came about due to back to back redundancies. i left my last senior role in Jan 2016 ( a further redundancy)and have been unable to find a role of the same standing since despite more than 400 applications.”,Unable to find a role of same standing/,0
“I have been struggling to get out of the dreaded dark hole of 'doctor google or doctor youtube’.”,struggling/ dreaded dark hole/,3
“I don't know how much more i can hurt myself before it completely drains me.”,hurt myself/ drains me/,1
"“from being depressed, to being anxious, to feeling so lonely that I can't even handle it anymore.”",being depressed/ being anxious/ feeling so lonely/ can't handle it anymore/,3
"“My friends haven't been supportive at all, just placating me while they live in huge houses & don't offer any way of helping.”",friends haven't been supportive/ don't offer any way of helping/,2
“I am very worried for his safety. He is still refusing to communicate with me beyond a text message every few days.”,Very worried/ refusing to communicate with me beyond a text message/,2
“a family friend that was very close to me has recently died and i feel like i cant take it anymore”,feel like i cant take it anymore/,3
“Recently my wife and I have separated which has caused a flare up with anxiety / depression. It's been extremely stressful and it looks like this will continue for a while yet.”,My wife and I have separated/ ,2
"“I feel like I have tried everything to get better and it's getting worse and I am more nihilistic, everything I try feels like a failure as I'm not ~better~.”",Tried everything to get better/ feels like a failure/,0
"“He is suffering from severe stress and as a result of this stress , it has caused him to become legally blind! (well documented, stress and blindness) He cannot drive nor work because of this.""",Severe stress/ cannot drive nor work/,0
"""I feel really scared though because I don’t ever go to the doctor for anything, and I haven't seen this doctor for so many years that I’m really scared that they’ll judge me or won’t believe anything I say.""",feel really scared/ really scared that they’ll judge/ won’t believe anything I say/,3
"“I truly am finished trying. I’m done searching for a purpose, searching for relationships-reason. Time and time again life proves to me that it’s nothing but swimming against a current. My life is empty.”",am finished trying/ I’m done searching for a purpose/ life proves to me that it’s nothing but swimming against a current/ My life is empty/,3
“i have also been giving my own mum the silent treatment for over 3 years now which was something I did not want to do but did because keeping the relationship would only hurt more me more if I kept up with the relationship.”,Silent treatment for over 3 years/ keeping the relationship would only hurt/ ,2
"“No longer is there a human face when I look in the mirror for a reflection. Hard to explain but seeing the same words twice like it’s almost on top of each other normally I have perfect vision.""",seeing the same words twice like it’s almost on top of each other/ normally I have perfect vision/,1
“I have just become a father and have also had major surgery on my back due to work related injuries.”,Had major surgery on my back/ work related injuries/,1
“My boyfriend wants to breakup and I am feeling depressed about it”,My boyfriend wants to breakup/,2
"“She also said that if I’m not coping, then my hours will be cut back to 8 hours/ week, currently I do around 20 hours/ week due to other health issues. She then waved me out, said rest up and Ill see you in a week”",I do around 20 hours per week/ i’m not coping/,0
"“I am so torn. I barely sleep, I put her on my bed at night and she is often panting, crying in her sleep or having tremors”",so torn /,3
"""I feel so sad and lonely, none of my friends or family understand.""",feel so sad and lonely/,2
"“I have so much to think about before I go such as getting myself familiar with my flights, what to pack, what I can’t take, what bag/s to buy, etc.”",Have so much to think about before I go/,0
“I am quite frankly shitting myself.”,shitting myself/,3
"""I've tried many times to reach out and make plans, but I get rejected every time. I never get invited anywhere.""",Get rejected every time/ never get invited anywhere/,2
"“i’m almost 21 and have recently had some issues regarding hormones. so i’m starting to show signs of Polycystic ovary syndrome such as hirsutism (male pattern body hair e.g. chest, back, chin) and irregular periods however blood tests and ultrasounds show nothing unusual and there’s no signs of PCOS at all.”",issues regarding hormones/ signs of Polycystic ovary syndrome/ hirsutism/  irregular periods/ blood tests and ultrasounds show nothing unusual/,1
"“Dysfunctional family? Constant arguing? Getting nowhere? Crying? Screaming? Giving up? yeah sounds a lot like my fam situation. My parents argue like actual children. Why can’t adults just grow up, I mean like seriously, what happened to communication?”",Dysfunctional family/ constant arguing/ my parents argue like actual children/ ,2
"""I feel so sad lonely unloved and unwanted and I'm sure I'm destined to be alone forever just venting""",feel so sad lonely unloved and unwanted/ destined to be alone forever just venting,3
"“Have no one to talk to. Very Lonely. I cry all the time. too much grief. More grief, more loneliness.”",Have no one to talk to/ Very Lonely/ more loneliness,2
“There is nobody in my life who loves me. I'm in my 40's and my Sister won't talk to me at all and I don't know why. She has dragged my brother along for the ride and we used to get along well. My parents are emotional cripples and won't talk about anything.”,Nobody in my life who loves me/ sister wont talk to me at all / emotional cripples/,2
“I’m the only close friend she has left So I feel bad.”,only close friend she has left/ feel bad/,3
“why do I think so negative when I put my head on the pillow ? Negative thoughts and not happy ones about our life together next few years first time on”,think so negative/ Negative thoughts and not happy ones/,3
"""I talked to my manager who I’m close to about it and she agreed that I could’ve done things differently but said not to worry about it.""",Could’ve done things differently/,0
“I feel that everyone I talk to treats me like I'm sub-human.”,everyone I talk to treats me like I'm sub-human/,2
"“He instead sits in bed all day, sleeps, smokes cigarettes inside, doesn't take his medications correctly, does not do any physio, does not organise or help organise some assistance for him, does not eat all day or otherwise orders takeaway meals regularly after buying good food for him.”","sits in bed all day, sleeps, smokes cigarettes/ doesn't take his medications correctly/ does not do any physio/ does not eat all day/ ",1
"""Coping with sadness that overcomes me in waves. I'm struggling to work through this, it makes me feel worthless and extremely sad.""",Coping with sadness/ struggling to work through this/ feel worthless/ extremely sad/,3
"“Painfully shy I've worked hard at finding my voice and some confidence, but I'm still hyper sensitive & fragile.”",Painfully shy/ worked hard at finding my voice and confidence/ hyper sensitive & fragile/,0
"“My bf broke up with me 5 months ago and I’m still struggling to recover. Most mornings I wake up and think about him and everything that went wrong. I also think what am I doing here, what’s the point, and feel very fearful about the future without him.”",struggling to recover/ feel very fearful/,3
“I just want my pain to end. I'm tired of trying to numb the pain. I am tired of drinking myself to sleep every night”,tired of drinking myself to sleep every night/ ,1
"“I had suicidal thoughts, have done three weeks in a mental health unit and about to get admitted for second three-week admission.”",had suicidal thoughts/ mental health unit/ ,1
"""I'm too scared to study, go to university or do a trade.”",Too scared to study/ ,0
“I decided after my fathers passing to study through tafe nsw but after my mothers passing I can’t seem to function or seek right resources”,Can’t seem to function/ seek right resources/,0
"""i have been having nightmares and i really just don't know how to make it all ok beyond calling the police and having him committed to a mental hospital""",having nightmares/ don't know how to make it all ok/,3
"""This happened after an argument, and it felt like she hated me.""",argument/ felt like she hated me,2
"“Neither my brother nor I, have any desire to be in relationships or marry, having grown up witnessing this behaviour and I can’t even imagine what kind of damage might be lying underneath the obvious surface-level stuff like that.""",Have any desire to be in relationships/,2
"""I'm not sure how long my work will put up with me like this, and I guess that also adds to my stress.""",How long my work will put up with me like this/ adds to my stress/,0
“I can’t talk to sister about it and I have no other family.”,have no other family/ ,2
"“The stress of that episode seemed to tip me over the edge, and it was like the weight of the whole experience caught up with me.”",stress/ tip me over the edge/ weight of the whole experience caught up/,3
“They got away with sleeping with anyone they want. I saw them play god with my life without my consent.”,Got away with sleeping with anyone they want/,2
"“I have bad anxiety and I constantly have like a knot in my stomach, everything is magnified 100 per cent and I am in a constant state of worry it's affecting my sleep terribly ”",knot in my stomach/ affecting my sleep/,1
“I was never able to pin point how old I was when a brother of mine abused me for his own experimenting.”,Abused me/,1
“So my doctor at this point thinks it could just be uneven levels of my androgens and isn’t anything serious but the course of treatment would be the birth control pill. i’ve taken the pill before but it really counteracted my antidepressants and my doctor was not comfortable with that side effect.”,uneven levels of my androgens/ course of treatment/ birth control pill/ counteracted my antidepressants/ doctor was not comfortable with that side effect/,1
“I have Type 1 diabetes which I've had for coming up 13 years. It has been badly controlled because I turn to sugar and junk food to make myself feel better.”,have Type 1 diabetes/ turn to sugar and junk food/,1
“I think a lot of the time about suicide. Fantasies mostly. It could be any time or any place.I hate these thoughts. I hate myself for having them. I hate myself for being so weak. I often dream of suicide.”,think a lot of the time about suicide/ hate these thoughts/ hate myself/ hate myself for being so weak/ often dream of suicide/,3
“His father would message and call him nearly every day with more guilt tripping which kept the trauma fresh in his mind.”,More guilt tripping / trauma fresh in his mind,2
"“because as the wife of a doctor, it's really hard. It's really hard to plan a family when you don't even know where you’ll be in a year. It's hard to keep moving around”",Hard to plan a family/ hard to keep moving around/,0
“I’m really struggling at the moment. I don’t have any real supports around me that I can talk to about this and I don’t see my psychologist for another two weeks. My older brother sexually abused me over a long period of time when I was younger.”,Don’t have any real supports around me that I can talk to about this/,2
"“about a couple days ago I lost 6 of my closest friends and my only friends, 3 of them texted me saying hey I’m really sorry but we don’t want to be your friend anymore it’s not because your not nice or whatever it’s because you put to much pressure on us and are to clingy”",lost 6 of my closest friends/ don’t want to be your friend anymore/ to clingy/,2
"""I don't trust my inner feelings anymore.""",don't trust my inner feelings anymore/,3
"“In the end I know my partner would be fine with supporting me, but what if I didn't have him? I would never be able to cope with all of this and the cost too!”",Never be able to cope with all of this/,3
"""I do take meds for depression and anxiety, it's genetic so with the death and trauma, it was a no-brainer.""",take meds for depression and anxiety/,1
“I am starting to experience severe mental health decline. Am I being abusive?”,Abusive/,2
"""I often find myself comparing the two and feel because I still have these thoughts about my ex partner that I can’t love my current partner completely.""",Cant love my current partner completely/,2
"""It’s almost been 21 years since my traumatic experience and it still consumes me.""",traumatic experience/ it still consumes me/,3
“I have dealt with Dysthymia since about 12 and Major Depression since about 14 but was not diagnosed until my 40s and had no idea that had been the problem all along.”,dealt with Dysthymia/ was not diagnosed/ Major Depression,1
"""I internalise all my emotions with it.""",internalise all my emotions/,3
"""Our sex life has taken a nose dive, I mean it is non-existent.""",sex life has taken a nose dive/ ,1
“Over the past couple of years I’ve been told that my resume looks like it fell off a cliff…. I’ve no idea how to resolve this.”,I’ve been told that my resume looks like it fell off a cliff/ no idea how to resolve this/,0
“I have a 1500w paper and a 2500w report due on Monday next week (already granted extensions). I did some rough research and have some rough ideas of what I'll write but it's so hard to continue. Especially the 2500w report is based on an interview that I kinda bombed so I’m just scared.”,It’s so hard to continue/ based on an interview that I kinda bombed so I’m just scared/,0
“I am trying to have them understand that the way they communicate with me just doesn’t work.”,The way they communicate with me just doesn’t work/,2
"“My boss is emotionally abusive (gaslighting, micromanaging, sexual harassment, manipulation, stonewalling) and would give me and my team unrealistic work projects and expected us to work late nights after work (usually 12 hour days) amongst many other things.""",emotionally abusive/ gaslighting/ micromanaging/ sexual harassment/ manipulation/ stonewalling/ unrealistic work projects/ work late nights after work/,0
“Main thing right now is building a support networkTalking to ppl (esp those without lived exp) and they don't get itPpl often want you to share your life experiences and usefulness up to your age”,Building a support network/ ,2
“I’ve been told that my body can’t keep doing physical labour forever and I need to choose a new career pathway.”,Can’t keep doing physical labour forever/ new career pathway/,0
"“I’m really feeling like crying but can’t cry, have a very grifting and feeling sad”",feeling like crying/ can’t cry/ feeling sad/,3
“I know in my heart that I can't handle 5 days a week but my mind is not helping.”,Mind is not helping/ can’t handle 5 days a week/,0
“I don't want to sell or loose our house I worked hard for and I can't afford to live anywhere else. It really seems to me that i'm all out of opinions.”,I can’t afford to live anywhere else/ I’m all out of opinions/,0
"""The truth is I don’t see any positives in the future""",don’t see any positives in the future/,3
"""I just don’t know where to go from here? Will I ever feel truly happy?""",don’t know where to go from here/ Will I ever feel truly happy/,3
“We can't wait any longer. Our family is falling apart. I can't cope with his behaviour NOW”,Family is falling apart/ cant cope with his behaviour/,2
"“I bottled it up for a long time, because I was scared. But I realised it’s not good to handle these things yourself. It’s important to talk to someone you trust and can confide in so the situation can be changed.”",bottled it up for a long time/ scared/ not good to handle/ ,3
"""It’s all just too much. I always wanted to be married and have kids but why does it feel so hard.""",Just too much / feel so hard/ ,3
“These symptoms are too intense to endure alone.”,Too intense to endure alone/,2
"“I feel as if what I feel or went through is all in my head. I might as well just suck it up, go back to work and whatever happens, happens. I am so confused.”",feel as if what I feel or went through is all in my head/ suck it up/ am so confused/,3
“Common medications I can't take due to blood clots.”,medications/ blood clots,1
"""I don’t really know who I am or what I want. I don’t feel happy, I just scrape by everyday.""",don’t really know who I am/ don’t feel happy/ I just scrape by everyday/,3
"“These past few months, I've been trying to not think about it too much but underneath it all, I'm mourning the loss of our previously close relationship.”",mourning the loss of our previously close relationship/,2
“I often cut experiences short due to overthinking and panic.”,overthinking/ panic/,3
“my long past childhood experience of being punished (not sure what for) keeps coming up in my mind and I guess I am thinking it must affect my life day to day”,being punished keeps coming up in my mind/ affect my life day to day/,3
“on the outside though I am able to put on a smile for most of the day but this takes too much energy and I end up crying myself to sleep most days or not sleeping at all”,takes too much energy/ not sleeping at all/ end up crying/,1
"""I was malnourished & broken again.""",malnourished/ broken again/,1
“I have hardly been out of the house and have not made any friends here. The longer I am stuck in this rut the harder it is to pull myself out of it.”,Have not made any friends here/ ,2
“I’ve recently gone through a lot of new experiences with starting uni and a new job which have been quite challenging.”,Quite challenging/,0
“Feeling unrecognised”,Feeling unrecognised/,2
"""I have been trying to explain my feeling to my few family and friends but it seems they have grown annoyed and uninterested with my concerns but I am desperate."" ",Trying to explain my feeling to my new family and friends/ grown annoyed and uninterested with my concerns/ I am desperate/,2
"“I'm not living and life seems to hard. I haven't worked for 6 years, after having a back injury, I was a nurse of 20 years.”",I’m not living/ life seems to hard/ haven’t worked for 6 years/,0
“Because I have turned to substance abuse I have been missing out on work more and more. If I keep this up I will lose my job.”,Missing out on work more and more/ will lose my job/,0
"“I am in so much pain I actually howled!""",so much pain/ ,3
"""I need to leave this world‌, I don't care anymore about my life.""",leave this world‌/ don't care anymore about my life/,3
"""I don’t know what makes me who I am and often feel down and flat when trying to find answers.""",don’t know what makes me who I am/ often feel down and flat when trying to find answers/,3
"“I am currently on a range of medications antidepressants, antipsychotics and mood stabilisers as I have suspected bipolar and experience intense hyper mania and depressive episodes.”","range of medications antidepressants, antipsychotics and mood stabilisers/ suspected bipolar/ experience intense hyper mania and depressive episodes/",1
"“She still talks and acts well but is fearful of living by herself.""",Fearful of living by herself/ ,2
"""I contacted Grow meeting but no answer... so lonely and just crying.""",So lonely/,2
"“I am so done with life, people, circumstances, the world, absolutely everything. I get up and do life because i have to, we all have to.”",done with life/ ,3
"“after recently going through a breakup I’ve hit a wall. I’m struggling to get out of bed , my anxiety is through the roof , I literally have nothing left to give anyone especially myself.”",struggling to get out of bed/ anxiety is through the roof/,1
"“I have been trying to get on top of everything all by myself, with varying degrees of success. Now I need more help again, I cannot trust the people at the local hospital. """,Need more help again/ cannot trust the people/,2
""" I've had a lifetime of struggles and I'm still struggling with the aftermath of how people have treated me. """,lifetime of struggles/ struggling with the aftermath/,3
“The thought of passing away is more ideal than it is scary.”, thought of passing away/ scary/,3
"“I know I will probably never have the connections and relationships I dream about, so dreaming about it is the only way I can experience it”",Never have the connections and relationships I dream about/,2
"“I have bipolar and in the midst of a severe depressive episode. I have been asking for help for over a month, screaming it for the past 2 week.”",Bipolar/ severe depressive episode/ ,1
"""Could understand if he had died a natural death but the unknown is killing me.”",the unknown is killing me/,3
"“The rest of the relationship is great, but I just miss the intimacy of touch, not even just the sex part. We’ve talked about it (didn’t really come to any conclusions though) but I still find myself dwelling on it and wanting more.”",Miss the intimacy of touch/ find myself dwelling on it and wanting more/ ,2
"""I feel bad to admit that I am relieved when he leaves the house, and bummed out when he comes home.""",Relieved when he leaves the house/,2
"“Hi guys, Im having a lot of trouble with finding a specialist that understands withdrawal and medication sensitivity issues.”",lot of trouble/ sensitivity issues/,3
“I live alone as well so when I’m having an anxiety attack at home it’s even worse.”,live alone/,2
"""Once or twice I heard her sigh in presumed impatience as I was explaining something.""",Sigh in presumed impatience/,3
“But my mind is fragmented into a thousand pieces. A lifetime of chronic headaches/migraines. They can be over 15+ days in a month. They can last anywhere from 2 to 16 hours.”,my mind is fragmented into a thousand pieces/ lifetime of chronic headaches/ migraines/,1
"“i'm just suffocating in my own life, my own body.” ",suffocating in my own life/,3
“I'm becoming frustrated with my own lack of progress in therapy and within myself and I genuinely don't know what to do.”,becoming frustrated with my own lack of progress/ I genuinely don't know what to do/,3
"""I went through a stage of self harm and risky behaviour.""",Self harm/ risky behaviour/,1
“miso is Killing my marriage. Or is it already dead.”,Killing my marriage/ already dead/,2
"""I feel bad that I'm thinking this.""",feel bad/,3
“I am scared I am going to lose him or make him resent me but feel I have no way forward.”,scared I am going to lose him/ make him resent me/ feel I have no way forward/,3
" “I can barely eat, I am force feeding myself just so my stomach doesn't hurt from lack of food but I have zero appetite.”",can barely eat/ force feeding/ stomach doesn't hurt from lack of food/ have zero appetite/,1
"""I'm also struggling because in seeking advice from people I love most are saying I should leave him.""",Struggling/ ,2
"“I’m not doing so well being by myself, as my son lives in his room. ”",not doing so well being by myself/,2
"""I’m just either extremely depressed or cranky.. & I don’t enjoy anything anymore.""",extremely depressed/ cranky/ don’t enjoy anything anymore/,3
“I have so much regret about not spending their last day with them and not being there in their final hours.”,so much regret/,3
“I have a Cholestasis liver disease and the recent symptoms may be related to lung issues that can occur with that and I’ll probably have to go through more medical testing.”,Cholestasis liver disease/ symptoms/ lung issues/ medical testing/,1
"“It's almost like it's 'normal' and 'all good now' but for me, she has no idea how hard it's been. I did try talking to her about it, but she (understandably) doesn't really get it.""",she (unfortunately) doesn’t really get it/,2
"""I have a headache right now.""",headache/,1
"“I wake up every day feeling nauseated for as long as I can remember, I honestly feel awful on waking but I'm not sure why.”",wake up every day feeling nauseated/ feel awful on waking/,1
"""I can’t eat, I feel sick. I feel so alone it is overwhelming.”",feel sick/ feel so alone/ overwhelming/,3
"“No amount of pills will make me forget her, no amount of counseling can fix my broken heart and no matter how hard I cry/beg/scream I have to acknowledge my baby is never coming home and there will be no new memories that include her physically by my side.”",Broken heart/ never coming home/ no new memories/,2
"“Now, the HSC is 45 days away, and I have a big exam at the end of this month.”",Big exam at the end of this month/,0
"“with everything in life I always feel like a hamster running on a wheel, I am going flat out trying to do things to improve my life and move forward but I just keep ending up in the same place. I hope at some stage I can move to a different wheel ”",Feel like a hamster running on a wheel/ keep ending up in the same place/ trying to do things to improve my life/,0
"""I feel like there's no point in living if I have no friends. ",there's no point in living/,3
"""I just feel so alone and always think, 'What's the point in living?""",What's the point in living/,3
“I feel so guilty for letting it go on and on but I feel trapped and powerless. I feel like I’m slowly going insane living in constant fear of his drinking and dysfunctional outbursts. It effects everything in my life as I’m constantly devastated or picking up the pieces (literally).”,feel so guilty/ feel trapped and powerless/ feel like I’m slowly going insane/ living in constant fear/ constantly devastated/ dysfunctional outbursts/,3
"""I try to do mindfulness and calm myself down but it helps only sometimes, other times it just makes me more restless and irritated.”",more restless and irritated/,3
"""I feel that I have nothing in life to look forward to besides my kids which I love with all my heart but one day they will be grown and gone.""",feel that I have nothing in life/ one day they will be grown and gone/,3
"“the argument expands and we don’t talk for days.Yes,I love her and she is a beautiful person ”",We don’t talk for days/ ,2
"“Mum is literally on the other side of the world. I'm all over the place, trying to keep busy but when alone, I was so upset I was struggling to breathe properly.”",So upset/ struggling to breathe properly/,3
"""I see people with their siblings, or my friends talk about their brothers. I've never told anyone outside my family about it. it's too painful.""",it's too painful/,3
“I don't know how much more i can endure.”,endure/,3
“I have driving anxiety and couldn't do specific drives and I'd also wanted to move interstate.”,Driving anxiety/ ,1
“I’m so emotional right now and tired... oh so tired.”,emotional/ tired/ so tired/,3
"""I’m so broken and don’t know if I can ever trust him again.”",so broken/ don’t know if I can ever trust him again/,3
“I feel the mother is very controlling in allowing me access to our kids and I have no faith in the family court system. I have no friends in life besides my work colleagues who don’t know the extremities of my situation.”,feel the mother is very controlling in allowing me access to our kids/ have no friends in life besides my work colleagues/ who don’t know the extremities of my situation,2
"“I keep thinking that if I had just seen his message, maybe I could have gotten him to hold on for a little longer, which I know is selfish of me because he was obviously in so much pain.”",Selfish of me/ so much pain/,3
“I am lonely and going broke.”,Lonely/,2
"“I hate going out, I never go anywhere  I've not been before. I have arguments with my partner because they won't walk into a new place first especially restaurants incase I do it wrong which often leads to just leaving.”",Have arguments with my partner/ ,2
" ""Why doesn’t it go away no matter what I do? I put on a smile and go about being this functional person in society but it’s all a lie. Inside my head I’m struggling with every single daily task and interaction."" ",struggling with every single daily task/,0
"""I’m really anti-social so I feel like I won’t be able to say what I wanna say or I’ll say the wrong thing causing them to just dismiss me and move me along without helping.""",Really anti-social/dismiss me/ ,2
"“I have been struggling with my mental health for as long as I can remember,”",struggling with my mental health/,1
"“I want children, I want to be married. I’m over being single”",Want to be married/ over being single/,2
"""I can’t even take any form of meds because I’m so low that self care is basically Non existent.""",i’m so low/ self care is basically non existent/,1
"""I just stood to go to bed up and couldn’t even stand up straight.""",couldn’t even stand up straight/,1
"“Beyond the norm, which for me is leaning to bad habits, old habits when yeah have just struggled with this every day. For a long time now it feels like”",bad habits/ old habits/ ,1
"“I’m exhausted everyday and battle just to get ready for work.""",exhausted everyday/ battle just to get ready for work/,0
"“If I stop i’m scared I’ll want to kill myself i’ll be so alone, but if I keep going I’ll kill my future and then it feels like i will have no choice but to.”",I’ll kill my future/feels like i will have no choice/,0
“last year I was having relationship problems and ended up in hospital with severe stress.”,Relationship problems/ severe stress/ ,2
"“I have been feeling so many feelings at once, i can't keep up anymore.”",can't keep up anymore/,3
